No,Name,Weight,Calorie,Protein ,Carbohydrates ,Sugar,Fat ,Saturated ,Fiber,Sodium,Source,Country,Original_Portion
3797,Sweet Potatoes with Sausage and Peppers,100,23.5875,0.75156,3.33578,0.87297,0.84406,0.24859,0.54922,0.059546866,allrecipes,US,4
3798,Honey Mustard Chicken,100,30.98276,2.43041,0.76829,0.62769,1.96341,0.56241,0.01004,0.01757531,allrecipes,US,7
3799,Easy Corned Beef and Cabbage,100,15.15478,0.90882,1.07278,0.31621,0.80341,0.25531,0.20144,0.066755987,allrecipes,US,6
3800,Spicy Pork Stir-Fry,100,32.81192,2.85815,1.37232,0.29923,1.80569,0.3405,0.28891,0.077386603,allrecipes,US,4
3801,Tuna Casserole III,100,34.86391,1.89611,2.43785,0.16602,1.97475,0.54174,0.14854,0.089999563,allrecipes,US,5
3802,Dash's Donair,100,47.7777,2.54033,4.83639,4.64098,2.04203,0.94774,0.04885,0.073278684,allrecipes,US,4
3803,Easy Red Beans and Rice,100,10.99361,0.62005,1.6129,0.14075,0.21683,0.06086,0.29671,0.030812538,allrecipes,US,8
3804,Pork Chop Packs,100,39.77591,1.28151,7.78711,2.34594,0.46218,0.16807,1.11345,0.018907563,allrecipes,US,2
3805,Chicago-Style Hot Dog,100,133.58373,4.39374,13.46467,5.2087,6.98037,2.5512,1.1693,0.846857062,allrecipes,US,1
3806,Curried Beef with Winter Vegetables,100,17.54772,0.52694,2.08219,0.87994,0.89529,0.19952,0.26091,0.008185525,allrecipes,US,8
3807,Foil Barbecued Trout with Wine,100,67.33415,8.8062,0.21356,0.06281,2.92703,1.23111,0.02512,0.048993128,allrecipes,US,2
3808,Swiss Cheese Meatloaf,100,64.17512,4.57816,2.44573,0.40425,3.90104,1.84946,0.07074,0.078829284,allrecipes,US,4
3809,President Ford's Braised Eye Round Steak,100,15.54524,1.26816,0.45454,0.11363,0.78181,0.25909,0.04545,0.015908874,allrecipes,US,6
3810,Grilled Beer Chicken,100,53.17059,3.48192,0.51126,0.05382,3.99856,1.57682,0.02153,0.024755539,allrecipes,US,4
3811,Chicken Avocado Casserole,100,19.11471,1.44821,0.54673,0.06678,1.2604,0.47995,0.2045,0.024623757,allrecipes,US,8
3812,Tomato Spinach and Bean Burrito,100,29.62989,0.89236,3.98964,0.23825,1.2649,0.27291,0.84904,0.074074716,allrecipes,US,4
3813,Not Your Average Grilled Chicken,100,24.25968,1.96182,0.16091,0.02475,1.71427,0.56936,0.01857,0.01856608,allrecipes,US,6
3814,Cajun-Crusted Snapper Fillets,100,45.6498,3.56025,4.12086,0.415,1.55806,0.31307,0.20386,0.058245358,allrecipes,US,4
3815,Carne Asada Steak Sandwich with Avocado Salad,100,34.93458,2.17315,2.62009,0.25312,1.8311,0.60429,0.38766,0.033976841,allrecipes,US,6
3816,Ginger Steak,100,30.5602,4.16073,0.17551,0.02065,1.36282,0.52654,0.05162,0.089822214,allrecipes,US,4
3817,B'stilla,100,63.18807,1.79543,4.09191,0.26444,4.41899,1.44052,0.1531,0.071678103,allrecipes,US,4
3818,Cajun Catfish Supreme,100,22.55674,1.56592,0.44741,0.06059,1.58456,0.7317,0.05593,0.06012024,allrecipes,US,6
3819,Leg o' Lamb with Lemon and Rosemary,100,16.40878,1.26676,0.51852,0.40694,1.00422,0.45945,0.00985,0.011814318,allrecipes,US,8
3820,Chicken Livers Fandango,100,26.27827,1.79917,1.63493,0.14184,1.24672,0.39567,0.15677,0.129151705,allrecipes,US,4
3821,Chicken Shawarma,100,17.78014,1.03054,1.94608,0.22557,0.67228,0.115,0.17692,0.018576262,allrecipes,US,8
3822,Calamari with Tomato Sauce,100,13.41588,0.95272,1.54991,0.19999,0.35553,0.06666,0.10555,0.022220926,allrecipes,US,8
3823,Roasted Pork Chops with Tomatoes,,,,,,,,,0,allrecipes,US,
3824,Awesome Asparagus Sandwich,100,57.51861,2.24727,5.98309,0.84544,2.78199,1.01163,0.59253,0.068646578,allrecipes,US,3
3825,Spicy Vegan Potato Curry,100,16.74794,0.41561,2.08218,0.24278,0.82711,0.54729,0.41561,0.048556674,allrecipes,US,6
3826,Texas Brisket,100,49.31122,2.18161,0.5454,0.12932,4.2339,1.47315,0.0506,0.052291257,allrecipes,US,6
3827,Classic Cuban Midnight (Medianoche) Sandwich,100,66.89995,4.24053,3.18155,0.17036,4.07017,1.68976,0.20259,0.152401124,allrecipes,US,4
3828,Easy Beef Stroganoff,100,25.83691,1.24034,1.54936,0.07725,1.60515,0.74678,0.08155,0.027038627,allrecipes,US,8
3829,Penne Russo a la Vodka,100,46.33395,1.5302,5.01862,0.50293,1.94752,1.05402,0.33707,0.049758165,allrecipes,US,4
3830,Kicky Steak Strips with Rice,100,30.83834,1.67553,3.5316,0.32499,1.0472,0.33944,0.09389,0.033943841,allrecipes,US,4
3831,The Best Ever Chicken Nuggets,100,19.76057,1.36597,1.96455,0.01535,0.68299,0.12662,0.09209,0.16038677,allrecipes,US,8
3832,Mushroom Patacone Pita,100,55.30338,0.63918,3.73321,0.87077,4.5484,3.39046,0.61139,0.016674386,allrecipes,US,4
3833,Luscious Chicken Pot Pie,100,18.18508,0.80703,1.50646,0.01793,0.9792,0.25108,0.28694,0.041965567,allrecipes,US,8
3834,Chicken Enchiladas I,100,19.70685,1.05657,1.96673,0.12267,0.62919,0.37198,0.15433,0.048673547,allrecipes,US,8
3835,Melt In Your Mouth Chicken Pie,100,38.01002,2.63389,1.3406,0.15772,2.39731,1.01991,0.0368,0.055201274,allrecipes,US,5
3836,Uncle Josh's Famous Chicken and Rice,100,19.98264,1.88389,1.98481,0.02018,0.42387,0.10765,0.04037,0.027585464,allrecipes,US,6
3837,Cheesy Chicken and Rice Casserole,100,33.21377,2.67575,2.1736,0.08608,1.45624,0.7891,0.04304,0.06025825,allrecipes,US,5
3838,Booyah Chicken,100,7.76687,0.65251,0.32918,0.06443,0.4147,0.14292,0.0492,0.008668902,allrecipes,US,12
3839,Rushin' Casserole,100,25.4542,1.5282,3.27403,0.66711,0.70023,0.28388,0.19398,0.017505678,allrecipes,US,6
3840,Chinese-Style Steamed Fish,100,20.23758,3.54864,0.48947,0.13178,0.39534,0.05648,0.15061,0.060242098,allrecipes,US,4
